SMPLID	Mophological.cluster.G4_0	Mophological.cluster.G4_1	Mophological.cluster.G4_2	Mophological.cluster.G4_3	Mophological.cluster.G4_4	Mophological.cluster.G4_5	Mophological.cluster.G4_6	Mophological.cluster.G4_7	Mophological.cluster.G4_8	Mophological.cluster.G4_9	Mophological.cluster.G4_10	Mophological.cluster.G4_11	Mophological.cluster.G4_12	Mophological.cluster.G4_13	Mophological.cluster.G4_14	Mophological.cluster.G4_15	Mophological.cluster.G4_16	Mophological.cluster.G4_17	Mophological.cluster.G4_18	Mophological.cluster.G4_19	Mophological.cluster.G4_20	Mophological.cluster.G4_21	Mophological.cluster.G4_22	Mophological.cluster.G4_23	Mophological.cluster.G4_24	Mophological.cluster.G4_25	Mophological.cluster.G4_26	Mophological.cluster.G4_27	Mophological.cluster.G4_28	Mophological.cluster.G4_29	Mophological.cluster.G4_30	Mophological.cluster.G4_31
GTEX.111FC.0826	165	467	6	1157	335	929	6	271	135	80	1	196	27	66	136	1928	651	28	0	169	41	210	694	7	498	9	106	34	961	167	97	0
GTEX.111YS.0426	1	99	0	114	57	5	115	5	171	173	15	151	0	132	52	35	36	33	0	313	422	12	279	302	0	72	2	134	35	42	190	17
GTEX.1122O.0826	0	5	1	23	60	0	496	230	164	0	11	70	165	8	63	3	8	62	0	18	795	6	45	2336	0	2004	0	274	0	92	175	18
GTEX.117YW.0326	828	293	157	793	956	125	0	216	42	24	0	243	192	491	81	33	1648	202	0	121	21	1594	281	9	49	3	39	2	3082	549	294	25
GTEX.117YX.1126	8	0	2	10	67	16	2409	13	175	26	1017	122	0	24	268	0	27	50	0	68	424	20	5	285	3	55	23	152	0	88	2	805
GTEX.11DXX.0326	30	12	11	0	51	4	1513	76	241	31	2676	140	44	10	544	9	4	81	0	63	247	10	10	1131	3	1688	32	184	0	132	18	2311
GTEX.11DXY.0826	186	42	50	135	86	334	0	60	61	200	1	252	35	13	109	180	185	52	0	230	9	56	35	3	850	0	76	4	103	119	18	0
GTEX.11DXZ.0626	173	52	985	47	71	421	139	128	57	276	53	118	23	274	319	45	228	18	0	124	115	1443	616	254	99	44	886	62	15	59	89	503
GTEX.11EM3.0626	1	15	0	1	25	2	340	16	216	8	928	68	0	21	211	0	0	19	0	91	83	2	2	1976	0	356	1	203	0	40	7	795
GTEX.11EMC.0726	29	591	3	1213	437	903	212	89	187	1975	2	280	2	169	64	695	496	129	0	398	438	86	515	11	54	34	75	44	170	225	55	5
