"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000198804.2"	6999987.64954314	0.000155940638417761	0.000389247904780697	0.400620366872926	0.688699648305552	0.890394089818135
"ENSG00000198886.2"	5576956.12609384	0.000160363218448766	0.000350310792061326	0.457774131094118	0.647114722873336	0.873919487081136
"ENSG00000210082.2"	3982398.69677321	0.000194459041331769	0.000376751614918973	0.51614653695271	0.605752067185672	0.857907455736243
"ENSG00000198938.2"	3455068.27427182	0.000126852439423963	0.000358101017700132	0.354236467236703	0.723161676252243	0.904935049052679
"ENSG00000198727.2"	3076679.79858611	3.27484272017759e-05	0.000341142933119569	0.0959962057613481	0.92352358601067	0.975868735173211
"ENSG00000198899.2"	2670568.27446383	0.00015538858346255	0.000336405353710313	0.461908770917952	0.644146743943849	0.873272531646497
"ENSG00000198712.1"	2620906.49784817	0.000166600073048498	0.00033253575760479	0.500998973008185	0.616371845693849	0.861847579842668
"ENSG00000092054.12"	871594.867055917	-0.000229672633039327	0.000308272679089726	-0.745030775083632	0.456253115633535	0.783284832580953
"ENSG00000198888.2"	2226838.9441465	7.93022113039792e-05	0.000336481809038281	0.235680530637414	0.813680578669322	0.939650671547969
"ENSG00000198763.3"	2017405.95425166	-1.79473537142215e-05	0.000321381119654594	-0.0558444557462197	0.955465719614298	0.986139515083099
"ENSG00000198786.2"	1138906.55226566	0.000123597961616252	0.000325684942730899	0.379501614596828	0.704315405522441	0.897732029773456
"ENSG00000111245.14"	423317.999559532	-0.000416910423977105	0.00028370600727132	-1.46951567218101	0.141692974153407	0.557615248418219
"ENSG00000175084.11"	576400.599825655	-0.000267742909247402	0.000213973969360124	-1.25128729465584	0.210829679218583	0.612082310688357
"ENSG00000159251.6"	304824.787468764	-0.000223236940765537	0.000361671912299254	-0.617236045083939	0.537079043928075	0.824684783743934
"ENSG00000198125.12"	315080.654165816	-0.000225485033036432	0.000288041757105148	-0.782820641363191	0.433732444516748	0.770584754590249
"ENSG00000198840.2"	688935.83424229	8.94483439729802e-05	0.000342261806231924	0.2613448019741	0.793826619726807	0.93113059279389
"ENSG00000140416.19"	290034.5035323	-0.000215357817632069	0.000247906625867309	-0.868705371946527	0.385008302408407	0.736245124306763
"ENSG00000212907.2"	615124.124867481	0.000165858459021247	0.000354387382337318	0.468014571871458	0.639774169089335	0.871562213145272
"ENSG00000155657.26"	193361.296419879	-5.79286945970217e-05	0.00029480718772096	-0.196496886812177	0.844221269135701	0.950282725984876
"ENSG00000211459.2"	464322.055124858	7.28132638693791e-05	0.000370566910040612	0.196491542813143	0.844225451505045	0.950282725984876
"ENSG00000118194.18"	266179.273849126	-6.96819914299238e-05	0.00024689079984862	-0.282238104751773	0.77776094210595	0.924402244052177
"ENSG00000134571.10"	171535.277666437	2.64188575222775e-05	0.000301653645660167	0.0875801035470994	0.930210416472979	0.9784086350513
"ENSG00000143632.14"	208848.149974486	-0.000767061524161377	0.000521914775540202	-1.46970647337477	0.141641268748893	0.557615248418219
"ENSG00000173641.17"	189003.620017337	-0.000291632919711146	0.000260136074359547	-1.12107834497443	0.262254515469769	0.651348799526381
"ENSG00000129991.12"	190656.914509373	-0.00020373381779805	0.000270918819631508	-0.752010576729811	0.452044698275496	0.780687650807639
"ENSG00000198695.2"	307861.18955637	-2.61602302746874e-05	0.000341078737983074	-0.0766985078852544	0.938863391581037	0.980842686720728
"ENSG00000109846.7"	157881.188770241	-0.000378899962678638	0.000301318879252208	-1.25747169782048	0.208582881188504	0.610506828774528
"ENSG00000228253.1"	378423.078731632	0.000127006754135072	0.000335153256347134	0.378951275960528	0.70472404613803	0.897733219978066
"ENSG00000104879.4"	165543.074972636	-0.00011018471391319	0.000273317788006267	-0.403137734711446	0.686846902260259	0.889614965917642
"ENSG00000160808.9"	173215.90103126	-2.69884082995099e-05	0.000237626371524813	-0.113574971188296	0.909574729040765	0.970563802474974
"ENSG00000248527.1"	329349.280510094	-2.78324879713757e-05	0.000360675950022276	-0.077167573744955	0.938490237105946	0.980635208139108
"ENSG00000114854.7"	114225.516188127	-0.000192305495778832	0.000276156648285069	-0.696363810080429	0.486201021103969	0.796688669465552
"ENSG00000173991.5"	125318.166926093	-0.000314833463785998	0.000264808052841119	-1.18891197004078	0.234474309306908	0.63130352239561
"ENSG00000128591.15"	125308.606475025	-0.0006178096067623	0.000402602229383977	-1.53454094804098	0.124896627532945	0.541091139713454
"ENSG00000174437.16"	78767.2835192737	-0.000528962979655676	0.000363914555180834	-1.45353619998196	0.14607493634934	0.562245161436101
"ENSG00000148677.6"	106014.203374219	-0.000512737229419072	0.000425062245937332	-1.20626386916204	0.227715764228328	0.625291192227576
"ENSG00000077522.12"	89782.2797056785	-0.000368566606981576	0.000307403382719977	-1.1989673103803	0.230540656828454	0.628029764806551
"ENSG00000110955.8"	81571.6125839589	-0.000325623266852716	0.000271607356633952	-1.19887498957387	0.230576558082388	0.628058872720695
"ENSG00000197616.11"	126773.84858555	-0.000531964533626534	0.000544844243723642	-0.97636074851579	0.328885725507476	0.699639692059396
"ENSG00000151729.10"	72245.4549340174	-0.000349542520149733	0.000298841254075428	-1.1696595278693	0.242138011340423	0.635972946162176
"ENSG00000122367.19"	75023.9083167605	-0.000161407790564381	0.000278558686789248	-0.579439084900983	0.562292937956699	0.837157267789699
"ENSG00000152234.15"	60083.093652445	-0.000311791564500461	0.000280644230473706	-1.11098512153334	0.266574753615014	0.654868822283784
"ENSG00000164309.14"	53678.9278784163	-0.00051041241339695	0.000345796702533688	-1.47604765938225	0.139931098376372	0.556019173972214
"ENSG00000121769.7"	84007.4650687115	-0.00022766396160528	0.000240440154703957	-0.946863313599145	0.343708434187754	0.708761179548292
"ENSG00000149925.17"	87379.2705068683	-0.000170422326905773	0.00019353482386098	-0.880577063630629	0.378546777437947	0.731845891413646
"ENSG00000111640.14"	75656.2128787564	-0.000270845584009513	0.000195467812792448	-1.38562753703651	0.165860665241122	0.577409091395263
"ENSG00000198523.5"	44325.9231692214	-0.000326899169976608	0.000349742307032546	-0.934685805529922	0.349950244163228	0.713566167120223
"ENSG00000111716.12"	50102.3899333216	-0.000447089607768272	0.000287034180856108	-1.55761800366348	0.119323828285334	0.536914281744911
"ENSG00000198626.15"	46053.3403796743	-0.000344411442786515	0.000375390571289709	-0.917474942439922	0.358893817576513	0.718162474040187
"ENSG00000167658.15"	70478.5143126899	-0.000189736860365189	0.000131858070117195	-1.43894765179371	0.150165354996432	0.566136895345461
"ENSG00000078114.18"	48678.8825410111	-0.000257083025851266	0.000310789909354781	-0.82719231903309	0.408128064493806	0.752758123692774
"ENSG00000197893.13"	49995.2640867594	-0.000379768210901974	0.000306766488272659	-1.2379716345171	0.215726578712453	0.616037340769615
"ENSG00000107317.12"	70093.1858703689	-1.45244982942172e-05	0.000254453754467876	-0.057081092493964	0.954480597867002	0.985743765145452
"ENSG00000036448.9"	49639.5222798093	-9.92426552867939e-05	0.000342267854798264	-0.289956108631027	0.771849815992252	0.922197796071826
"ENSG00000115641.18"	43392.769403441	-0.000396136473485761	0.000337518130213168	-1.17367465041232	0.240525367640224	0.634410466974469
"ENSG00000168334.8"	53797.0635169067	-0.000646027783884085	0.000452975545508667	-1.4261868886512	0.153814403239688	0.5692460698392
"ENSG00000101605.12"	36612.6566339436	-0.000340323044904503	0.000335029204367227	-1.01580113156784	0.309724097073798	0.686447596175216
"ENSG00000118729.11"	36512.5212715997	-0.000506822766428101	0.000320232619420985	-1.58267064530931	0.113496552338663	0.529407602993197
"ENSG00000131730.15"	36657.8956208457	-0.000370815472382761	0.000349176769259688	-1.06197062642212	0.288249020268942	0.669882461801598
"ENSG00000129170.8"	39565.4265713439	-0.000735806695259087	0.000339210036791486	-2.16917725141309	0.03006922952248	0.37937425966306
"ENSG00000022267.16"	53064.6959368787	-0.000563147139026084	0.000350297402494786	-1.6076257917284	0.107917159985442	0.522428125122915
"ENSG00000172399.5"	33681.78654148	-0.000509760260010019	0.000290921998091133	-1.75222315037976	0.0797354443971092	0.487342396600864
"ENSG00000138029.13"	33593.4481782575	-0.000377241244835645	0.000326780725734719	-1.15441706051504	0.248329224020937	0.640035918869089
"ENSG00000099204.18"	44140.8853395779	5.48223412268346e-06	0.000213704348159231	0.0256533578745841	0.979533826624013	0.993789718834222
"ENSG00000014641.17"	34010.7707731372	-0.000366318797641979	0.000302881661403564	-1.20944528613731	0.226491819302582	0.623690566691272
"ENSG00000101210.10"	46696.0319686857	-0.000204260875484842	0.000273627152030253	-0.746493445439428	0.455369389597906	0.782792835027611
"ENSG00000130528.11"	35701.0642378285	-0.000358243416476298	0.000293102837325667	-1.22224479211798	0.221615069824199	0.620694882114995
"ENSG00000077157.21"	33158.3219678856	-0.00027614102219465	0.000302806794903342	-0.911937997569691	0.3618013575589	0.72081387150862
"ENSG00000198959.11"	45634.2740337499	-0.000478127550742766	0.000274325128577201	-1.74292290765558	0.0813470819942702	0.490216662357991
"ENSG00000172270.18"	59797.678037763	-0.000192109489058715	0.000173488757345758	-1.1073310570543	0.268150821470266	0.656190381180549
"ENSG00000197746.13"	52695.1648710763	-0.000237752509730118	0.000129147798468062	-1.84093350835488	0.065631303228979	0.463762193662965
"ENSG00000211445.11"	47564.2198533645	-7.39782249085082e-05	0.000221407383592561	-0.334127180892236	0.738283590186181	0.910697206084293
"ENSG00000178104.19"	28594.377448517	-0.000391451578132492	0.000332171412410103	-1.17846257536817	0.238612243777235	0.633823769501959
"ENSG00000096384.19"	45365.8693772734	-0.000372590031281934	0.000176450794608626	-2.11158035365243	0.0347224591325107	0.389497361254399
"ENSG00000106211.8"	57262.7843724402	-0.000140894735136274	0.000272426476024171	-0.517184442542116	0.605027411152286	0.857678869070574
"ENSG00000109971.13"	37901.9049585325	-0.000384139114875107	0.000244458567987418	-1.57138740539001	0.116092689657377	0.533212639034201
"ENSG00000103034.14"	31793.3989227337	-0.000417247323196907	0.000283902690282126	-1.46968428788847	0.141647280070925	0.557615248418219
"ENSG00000133112.16"	57413.0151491088	-0.000201800867532005	9.21315639111129e-05	-2.19035538924206	0.0284984726931112	0.37374248318683
"ENSG00000101608.12"	40450.1307236495	-0.000560752356441366	0.0002731008546911	-2.05327939041284	0.0400454885140832	0.408917335161474
"ENSG00000079308.16"	40186.2218100233	-0.000132357840305398	0.000174884594983544	-0.756829612796098	0.449151949126539	0.7789134227419
"ENSG00000171992.12"	41699.0623457599	-0.000250603506797758	0.000167400111144559	-1.49703309683796	0.134384646395138	0.550478473576598
"ENSG00000004799.7"	42662.8890384567	-0.00101631729908204	0.000465186604131173	-2.1847518609875	0.0289070454035652	0.375210245308449
"ENSG00000101335.9"	54721.8004363927	-3.81885241741846e-05	0.000154377610296086	-0.247370872634584	0.804621214084051	0.93596256401558
"ENSG00000175445.14"	34045.7862003471	-0.000496582711983345	0.000313894360567057	-1.58200584134821	0.113648236992315	0.529407602993197
"ENSG00000087460.24"	49180.9707974797	-0.000241744926297219	0.000106289919841704	-2.2743918393884	0.0229424376695655	0.355873696900151
"ENSG00000072778.19"	43600.6879743837	-0.000101714756792618	0.000188147917627735	-0.540610590194616	0.588776016888511	0.850162543937008
"ENSG00000225630.1"	84428.1355996143	1.32526867113969e-06	0.000371628131827252	0.00356611504253862	0.997154657896299	0.998879145118369
"ENSG00000095637.21"	30399.7853144479	-0.000384422342860083	0.000289213308483878	-1.32920004572166	0.183781980012834	0.590165243574093
"ENSG00000265972.5"	52608.7768742211	-0.000157937867569841	0.000204392038668676	-0.772720251721066	0.439687958651744	0.773049216998174
"ENSG00000148180.19"	72855.4918085849	9.79303745993482e-05	0.000202307543051852	0.484066847543339	0.628338428491824	0.867067126403878
"ENSG00000103994.16"	28661.9977410212	-0.000547621755206281	0.000299707270892677	-1.8271887551316	0.0676713940027919	0.467184760831881
"ENSG00000075415.12"	38452.4448646099	-0.000198420505083831	0.000197536475879011	-1.00447527071082	0.315149585055387	0.691158761081648
"ENSG00000263155.5"	24615.0323174983	-0.000312936131204119	0.000337949810843427	-0.925984040124537	0.354454274444411	0.71513145428057
"ENSG00000105953.14"	29714.3969734093	-0.000277798704742754	0.000264272426230408	-1.05118308673093	0.293174509571003	0.674013917600481
"ENSG00000185739.13"	27868.5477608463	-0.000350219756050806	0.00029251095127875	-1.19728767254619	0.231194447633201	0.628658195706675
"ENSG00000067225.17"	35918.6248839946	-0.0002325386745985	0.000174437748107885	-1.33307542158066	0.182507054250364	0.58886979198467
"ENSG00000154556.17"	23702.1251725791	-0.000419564495488955	0.000321032010336219	-1.30692417572174	0.191238464512941	0.596850497067539
"ENSG00000154358.20"	33366.9955201062	-8.72082415763369e-05	0.000220176041247561	-0.396084156487679	0.692042945855727	0.892215624640437
"ENSG00000047849.21"	39064.5267608609	-0.000289713758492516	0.000155809737732102	-1.85940726625603	0.062969432637538	0.460210015170155
"ENSG00000156508.17"	57554.5055964104	0.000204793343596711	0.00017851181381521	1.14722571699768	0.251288345496171	0.642056944250487
"ENSG00000124942.13"	47782.1751529042	0.000225205031578785	0.000115154914374379	1.95567017527903	0.0505040202884262	0.436524403490725
"ENSG00000129116.17"	26636.3822261006	-0.000449369668066982	0.00035222782349231	-1.27579264923344	0.202028826733806	0.603813263034881
"ENSG00000129250.11"	31619.4968903543	-0.000303357356867223	0.00020089313603455	-1.51004341340489	0.131032346920341	0.5462223904182
"ENSG00000145730.20"	24408.4865270004	-0.000487960859503042	0.000259032535882919	-1.88378211964692	0.0595944531078077	0.453781425727963
"ENSG00000075624.13"	57809.5409429088	0.000215272908673519	0.000193511789256783	1.11245371406214	0.265943120700259	0.654142337278428
"ENSG00000163110.14"	23618.9111468515	-0.000482361019305551	0.00027572045364231	-1.74945678832849	0.0802120919828693	0.487639204955043
"ENSG00000080824.18"	38491.5537915429	-0.000320738919778161	0.000289711136533689	-1.10709903532087	0.268251112586034	0.656190381180549
"ENSG00000205678.7"	19662.6331817371	-0.000500186444321985	0.000375262719986749	-1.33289670857698	0.182565702862494	0.58886979198467
"ENSG00000082641.15"	28473.2144850317	-0.000309484702880477	0.000220198510796812	-1.40548045379859	0.159878457617383	0.573484460215156
"ENSG00000152556.15"	20306.5941229114	-0.000312447131938182	0.000327491083141448	-0.954063020406672	0.340051743236522	0.706233843862968
"ENSG00000116688.16"	24471.5501669833	-0.000291661163299563	0.000246034977051023	-1.18544593453913	0.235841179169549	0.632245588645466
"ENSG00000011465.16"	47453.964210308	0.00025012826002522	0.000241912092631623	1.0339634422745	0.3011532540637	0.680796331119788
"ENSG00000073578.16"	23356.3036990025	-0.000217753769249428	0.000277826555597393	-0.783775938125156	0.433171595035572	0.770116900209189
"ENSG00000009307.15"	24404.8775661229	-0.000376104191992422	0.000203876445462326	-1.84476529958888	0.0650716872434761	0.463762193662965
"ENSG00000100412.15"	17143.4332518324	-0.000482172595362648	0.000391665725209332	-1.23108192606066	0.21829222463439	0.618006260826667
"ENSG00000245532.7"	43257.1237560764	0.000450935408804185	0.000224695613551125	2.00687232686714	0.0447632591184118	0.420827766229885
"ENSG00000120053.10"	20067.05167204	-0.000408308493412973	0.000327213036781441	-1.24783687541673	0.21209080142666	0.613179987363182
"ENSG00000170807.11"	23063.4596045355	-0.000332533726385424	0.000372256326467657	-0.893292343855747	0.371700636934553	0.726404030566837
"ENSG00000182054.9"	27061.7070557372	-0.000196934885723259	0.000252864488361297	-0.778815906494055	0.436088166314659	0.771762301461863
"ENSG00000251562.7"	45686.6612453919	0.000250155563739726	0.000180548365238419	1.38553214485985	0.165889810418844	0.577409091395263
"ENSG00000189043.9"	26129.3977711076	-0.000216908426305062	0.000228926816189597	-0.947501170528744	0.343383460065382	0.708647540113324
"ENSG00000106631.8"	24586.388921652	0.00053582731957674	0.000398246322508485	1.34546708730832	0.1784744430507	0.586524946050152
"ENSG00000117984.13"	28361.4550773038	-0.000338499843058864	0.000184511782486957	-1.8345703374406	0.0665693770970854	0.465595717383083
"ENSG00000140740.10"	19119.0125813801	-0.00033862072806267	0.000272923991884059	-1.24071440449442	0.214711271127723	0.614761884122107
"ENSG00000084754.10"	22141.3492112134	-0.000254633006864893	0.000257449048341051	-0.98906175224067	0.322632929406173	0.695957031600845
"ENSG00000142661.18"	19128.1135027658	-0.000296975438443563	0.000346754559790078	-0.856442777921505	0.391752911406107	0.742021265903677
"ENSG00000198467.13"	32057.0129853708	-1.6734081635866e-05	0.0001696522637598	-0.0986375381324632	0.921426064219317	0.975058800251117
"ENSG00000114923.16"	23768.1939547878	-8.73763520635865e-05	0.000261072005454945	-0.334682961933525	0.737864255377842	0.910567557285632
"ENSG00000077009.13"	28526.9703665068	-0.000320911791159381	0.000276224058905758	-1.16178073854482	0.24532453995031	0.63861813509013
"ENSG00000152583.12"	41455.4949542582	-2.36169153753009e-05	0.000169439668894769	-0.13938244526415	0.889147943597432	0.96457855478359
"ENSG00000167978.16"	37289.8961700638	0.00030553877545176	0.000101936342134828	2.99734882626683	0.0027233889347064	0.150328370943822
"ENSG00000162614.18"	18410.748314042	-0.000391207600998369	0.000315515338574609	-1.23990042058086	0.215012228317211	0.615199261424099
"ENSG00000154518.9"	21444.3110633446	-0.000290737300019104	0.000255870882535345	-1.13626567094418	0.255845393450364	0.646762843263135
"ENSG00000010256.10"	24158.2713927185	-0.00016091253838888	0.000229856360277177	-0.700056932054614	0.483891750638647	0.795839908937103
"ENSG00000096696.13"	16483.3245060309	-0.000567424622042059	0.000391410307618995	-1.44969258856207	0.147144263428465	0.563155184870628
"ENSG00000152137.6"	22048.0080926841	-0.000457364441833077	0.000244582961044699	-1.86997671415667	0.0614870515557644	0.457132210759358
"ENSG00000104763.18"	19010.8933474524	-0.000351971399796584	0.000252664405027406	-1.39303911747444	0.163607962011554	0.576425048474952
"ENSG00000137818.11"	38137.1775701284	-8.92975075820764e-05	0.000106799923077857	-0.836119587061677	0.403087630301993	0.749287529512034
"ENSG00000062485.18"	18424.1588763122	-0.000289332063464953	0.000257149057767894	-1.12515311538146	0.260524156714886	0.650579022588497
"ENSG00000060138.12"	22830.4403289867	-0.00058803383343084	0.000214555258485629	-2.74071042388471	0.00613065120507194	0.218469411429563
"ENSG00000153531.13"	17565.6892572623	-6.28193006942126e-05	0.000304122185369161	-0.206559414986312	0.836353958782119	0.946952816228122
"ENSG00000112096.16"	22477.4112005049	-0.000470225829972024	0.000252033608528525	-1.86572668906101	0.062079613667631	0.458810773443464
"ENSG00000174444.14"	34158.6902324629	-5.95124332360548e-05	9.52169003924284e-05	-0.625019644525072	0.531958165043802	0.821775228973887
"ENSG00000156467.9"	24351.248685042	-0.00022359639694022	0.000218587812621924	-1.0229133740725	0.306348805472805	0.685006189959927
"ENSG00000196531.10"	25314.9409842851	-0.000180109556745356	0.00013387399262495	-1.34536628970151	0.178506975896799	0.586524946050152
"ENSG00000115593.14"	14898.4109104898	-0.000201133349021909	0.000389409111162869	-0.516509098673312	0.605498885803067	0.857885509422736
"ENSG00000135218.17"	24295.7716895868	-0.000264535517092945	0.000208813279402912	-1.26685198302219	0.205208220664595	0.607212559871852
"ENSG00000133065.10"	16201.0406483373	-0.000196917363792269	0.000291899227824491	-0.674607347405073	0.499925263688122	0.804681306881224
"ENSG00000110321.16"	21318.552086067	-0.000344157050391124	0.00014597548117881	-2.35763600579988	0.018391716769293	0.333951297480772
"ENSG00000182809.10"	30486.5401158711	-0.000107982248005604	0.000133055141424177	-0.811560131008837	0.417044076174991	0.75864130917985
"ENSG00000147403.16"	35194.9181171552	2.52443456184091e-05	9.4750112240869e-05	0.266430772706994	0.789907468231872	0.929556893012736
"ENSG00000131143.8"	27938.1680252969	-0.00014730736648652	0.000185512628638969	-0.794055733926335	0.427162985984584	0.766269118447498
"ENSG00000175899.14"	34758.3439708431	-0.000106809389008664	0.000140611725443397	-0.759605137280391	0.44749064742989	0.778275085514485
"ENSG00000050165.17"	18531.9807887074	-0.000468452522952476	0.000277216287818911	-1.68984487397251	0.0910576362511017	0.500324850233
"ENSG00000164733.20"	21462.0549704733	-0.000346868023140698	0.00017222849566816	-2.0139990295742	0.0440096353749238	0.41877971342228
"ENSG00000125868.15"	17781.2812043085	-0.000289151149682851	0.000209105081306345	-1.38280307621619	0.166725255503504	0.577754349434144
"ENSG00000135424.15"	21653.9515445088	-0.000157839465082196	0.000199734340033368	-0.790247010383025	0.429383526471895	0.767379673433901
"ENSG00000142541.16"	39289.6119254759	3.62878083787593e-05	0.000102798810608774	0.352998329103841	0.724089693189317	0.90512947981983
"ENSG00000078814.15"	20199.0422331264	0.000357043820271416	0.000311038785537106	1.14790771078555	0.251006664694415	0.642056944250487
"ENSG00000189058.8"	27015.3122866887	-0.00021769817652048	0.000311135410719819	-0.699689488948977	0.484121242113264	0.795839908937103
"ENSG00000254772.9"	28410.2786095566	-6.99168340373268e-05	9.15986349943216e-05	-0.763295588866156	0.445287132209329	0.776698405277246
