"Cluster"	"SignificantPathways"
"Mophological.cluster.G4_0"	0
"Mophological.cluster.G4_1"	0
"Mophological.cluster.G4_2"	0
"Mophological.cluster.G4_3"	0
"Mophological.cluster.G4_4"	0
"Mophological.cluster.G4_5"	0
"Mophological.cluster.G4_6"	2
"Mophological.cluster.G4_7"	0
"Mophological.cluster.G4_8"	0
"Mophological.cluster.G4_9"	0
"Mophological.cluster.G4_10"	6
"Mophological.cluster.G4_11"	0
"Mophological.cluster.G4_12"	0
"Mophological.cluster.G4_13"	0
"Mophological.cluster.G4_14"	0
"Mophological.cluster.G4_15"	0
"Mophological.cluster.G4_16"	0
"Mophological.cluster.G4_17"	0
"Mophological.cluster.G4_18"	0
"Mophological.cluster.G4_19"	0
"Mophological.cluster.G4_20"	0
"Mophological.cluster.G4_21"	0
"Mophological.cluster.G4_22"	0
"Mophological.cluster.G4_23"	0
"Mophological.cluster.G4_24"	0
"Mophological.cluster.G4_25"	0
"Mophological.cluster.G4_26"	0
"Mophological.cluster.G4_27"	0
"Mophological.cluster.G4_28"	0
"Mophological.cluster.G4_29"	0
"Mophological.cluster.G4_30"	0
"Mophological.cluster.G4_31"	0
