"gene"	"log2FoldChange"	"padj"
"ENSG00000210154.1"	2.45106814774196	2.86118053099239e-30
"ENSG00000210156.1"	2.39692028765742	6.05152897585816e-30
"ENSG00000281181.1"	2.00397998636535	2.10566987220541e-16
"ENSG00000140465.13"	1.69199420399014	2.17802571847397e-19
"ENSG00000118972.1"	1.61930223107611	1.57345232834527e-16
"ENSG00000086506.2"	1.41182245127769	3.90832347873478e-12
"ENSG00000169877.9"	1.35586528743136	6.5193225141187e-15
"ENSG00000169245.5"	1.35548676846169	3.37621637202631e-18
"ENSG00000004939.13"	1.30887548267182	4.78405785944413e-17
"ENSG00000206172.8"	1.30866261603973	3.3034455362224e-21
