"gene"	"log2FoldChange"	"padj"
"ENSG00000171951.4"	2.67485620027782	4.52915743053275e-14
"ENSG00000159261.10"	2.54136040823044	5.42401267660571e-05
"ENSG00000223609.7"	2.50849472049423	3.00855759044565e-05
"ENSG00000095752.6"	2.27210808560233	2.29254345684586e-07
"ENSG00000261039.2"	2.06303280467054	0.000120079230175306
"ENSG00000268941.2"	2.02426627292645	0.00025107096063264
"ENSG00000106541.11"	1.99349499908563	0.000236587496012317
"ENSG00000149948.13"	1.86404198101	0.000199505147590021
"ENSG00000124159.15"	1.74439348981975	0.00071766405482159
"ENSG00000106483.11"	1.48633029396764	2.18089814043572e-05
