"cluster"	"count_non_confounders"	"count_confounders"
"Mophological.cluster.G4_0"	53	2
"Mophological.cluster.G4_1"	40	23
"Mophological.cluster.G4_10"	99	4
"Mophological.cluster.G4_11"	612	86
"Mophological.cluster.G4_12"	21	12
"Mophological.cluster.G4_13"	126	13
"Mophological.cluster.G4_14"	68	25
"Mophological.cluster.G4_15"	35	3
"Mophological.cluster.G4_16"	622	40
"Mophological.cluster.G4_17"	140	81
"Mophological.cluster.G4_18"	8	7
"Mophological.cluster.G4_19"	197	53
"Mophological.cluster.G4_2"	9	0
"Mophological.cluster.G4_20"	144	19
"Mophological.cluster.G4_21"	54	1
"Mophological.cluster.G4_22"	207	9
"Mophological.cluster.G4_23"	190	7
"Mophological.cluster.G4_24"	38	1
"Mophological.cluster.G4_25"	63	8
"Mophological.cluster.G4_26"	34	2
"Mophological.cluster.G4_27"	55	12
"Mophological.cluster.G4_28"	60	10
"Mophological.cluster.G4_29"	452	165
"Mophological.cluster.G4_3"	120	11
"Mophological.cluster.G4_30"	15	8
"Mophological.cluster.G4_31"	10	0
"Mophological.cluster.G4_4"	1360	117
"Mophological.cluster.G4_5"	55	5
"Mophological.cluster.G4_6"	86	2
"Mophological.cluster.G4_7"	37	23
"Mophological.cluster.G4_8"	2797	378
"Mophological.cluster.G4_9"	17	2
