"pathway"	"padj"	"ES"	"NES"
"REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION"	0.00277427297016199	0.701989981048063	1.71647441306964
"REACTOME_AMINE_LIGAND_BINDING_RECEPTORS"	0.00198380137560121	0.600226831852854	1.67207005339441
"REACTOME_NUCLEOTIDE_SALVAGE"	0.00510626171383653	0.608379831398615	1.60715366487627
"REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA"	0.00269073191150465	0.515567883388079	1.60197272691576
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES"	0.00389626543711128	0.539015740145444	1.56451370670867
"REACTOME_ACTIVATION_OF_RAC1"	0.00655659279964977	0.696050007094069	1.5489256639737
"REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING"	0.00858850065440601	0.610057750652737	1.49168584703568
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION"	0.00676929671326457	0.452464044227273	1.40236064456435
"REACTOME_ARACHIDONIC_ACID_METABOLISM"	0.00868899146960371	0.442345019664992	1.37099788328294
"REACTOME_AUTOPHAGY"	0.00532830915978931	0.36214001190341	1.33715327331796
"REACTOME_INNATE_IMMUNE_SYSTEM"	0.00010783257686173	-0.293395111641668	-1.31762510231477
"REACTOME_CELL_CYCLE_MITOTIC"	0.000165605904662559	-0.327263652826724	-1.41318706501114
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"	5.0959411345835e-05	-0.32316541301138	-1.41425602793326
"REACTOME_TRANSPORT_OF_SMALL_MOLECULES"	5.10388832317793e-05	-0.325414579566116	-1.42671620723181
"REACTOME_METABOLISM_OF_RNA"	3.89098437779067e-05	-0.327144992701505	-1.43426905389895
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"	0.000131932156171333	-0.331845086814894	-1.43488603169603
"REACTOME_CELL_CYCLE"	5.0959411345835e-05	-0.329410929317655	-1.43731680636288
"REACTOME_RHO_GTPASE_CYCLE"	5.32059869337847e-05	-0.34702628619291	-1.47852008386879
"REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"	6.60849631111577e-05	-0.351866336552579	-1.49204076737427
"REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"	1.83081152470754e-05	-0.340857890956385	-1.49346122899333
