"pathway"	"padj"	"ES"	"NES"
"REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS"	0.223020399663076	-0.657918921407111	-1.51075512698868
"REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY"	0.194711275617542	-0.746330855567216	-1.55241989332943
"REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS"	0.194711275617542	-0.663137640513526	-1.51063197895005
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION"	0.192321559595271	-0.495343217125326	-1.46303138281246
"REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS"	0.177424178688106	-0.71857298140569	-1.58356069027727
"REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES"	0.176863249682117	-0.730334618963418	-1.57948257022543
"REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS"	0.135016142988844	-0.513517948032981	-1.51671174174901
"REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA"	0.0969751533255775	-0.553364707164315	-1.62963839946255
"REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION"	0.0962064150402066	-0.721781725215173	-1.64422359600555
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES"	0.0440129811119941	-0.643616725722274	-1.77263803950622
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"	0.00933891277927738	0.311913841651992	1.35078012375416
"REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"	0.00933891277927738	0.346247508793615	1.45404697375572
"REACTOME_INNATE_IMMUNE_SYSTEM"	0.00933891277927738	0.28997005907209	1.26479511749023
"REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS"	0.00933891277927738	0.393667145504542	1.56434532464444
"REACTOME_TRANSPORT_OF_SMALL_MOLECULES"	0.00933891277927738	0.311335875806224	1.34508572648482
"REACTOME_ESR_MEDIATED_SIGNALING"	0.00524528198379073	0.4416669979531	1.68216317194969
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"	0.00524528198379073	0.341506015287989	1.45561264955167
"REACTOME_RHO_GTPASE_CYCLE"	0.00495995946593578	0.347169935304974	1.458244090548
"REACTOME_METABOLISM_OF_RNA"	0.00466595719964044	0.32673783576248	1.41171776948886
"REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"	0.000514415721660323	0.337896716782336	1.45949534594327
