"pathway"	"padj"	"ES"	"NES"
"REACTOME_INSULIN_RECEPTOR_RECYCLING"	0.016160677360857	0.689012376366125	1.82361756722037
"REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION"	0.016160677360857	0.65880667384824	1.63807880794858
"REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK"	0.016160677360857	0.58922604160332	1.63169171724441
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PI"	0.016160677360857	0.721805979893477	1.61808793943708
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE"	0.016160677360857	0.556927005887543	1.61557557984522
"REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS"	0.016160677360857	0.682105427858888	1.60718632754154
"REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS"	0.016160677360857	0.639456925192593	1.60594398085503
"REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING"	0.016160677360857	0.583307913644936	1.60501534607315
"REACTOME_AMINO_ACIDS_REGULATE_MTORC1"	0.016160677360857	0.491061449283083	1.52142731929188
"REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS"	0.016160677360857	0.443022977730338	1.51651937859935
"REACTOME_CARDIAC_CONDUCTION"	0.016160677360857	-0.392113886408118	-1.39482266591008
"REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION"	0.016160677360857	-0.44298751151031	-1.49320329128958
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS"	0.016160677360857	-0.51496646807732	-1.50745260645833
"REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA"	0.016160677360857	-0.470030085879513	-1.52225758601187
"REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX"	0.016160677360857	-0.48171001073811	-1.52639284334273
"REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES"	0.016160677360857	-0.510822156650606	-1.55507020367351
"REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE"	0.016160677360857	-0.594674136912206	-1.6398104367246
"REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM"	0.016160677360857	-0.688761051846958	-1.78109120828562
"REACTOME_RHOD_GTPASE_CYCLE"	0.0130912537100284	-0.587730222109969	-1.80961928988163
"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS"	0.0139676639547698	-0.670469747053996	-1.87714633442642
